test01	test01	6	1	0.000	0.160	sil	0	2.44	0.0	0.160
test01	test01	6	1	0.230	0.065	sil	0	2.44	0.23	0.295
test01	test01	6	1	0.360	0.045	sil	0	2.44	0.36	0.405
test01	test01	6	1	0.495	0.050	sil	0	2.44	0.495	0.545
test01	test01	6	1	0.595	0.075	sil	0	2.44	0.595	0.670
test01	test01	6	1	0.700	0.090	sil	0	2.44	0.7	0.790
test01	test01	6	1	0.980	0.055	sil	0	2.44	0.98	1.035
test01	test01	6	1	1.045	0.045	sil	0	2.44	1.045	1.090
test01	test01	6	1	1.195	0.025	sil	0	2.44	1.195	1.220
test01	test01	6	1	1.235	0.015	sil	0	2.44	1.235	1.250
test01	test01	6	1	1.315	0.040	sil	0	2.44	1.315	1.355
test01	test01	6	1	1.360	0.075	sil	0	2.44	1.36	1.435
test01	test01	6	1	1.490	0.050	sil	0	2.44	1.49	1.540
test01	test01	6	1	1.545	0.025	sil	0	2.44	1.545	1.570
test01	test01	6	1	1.595	0.040	sil	0	2.44	1.595	1.635
test01	test01	6	1	1.765	0.110	sil	0	2.44	1.765	1.875
test01	test01	6	1	1.880	0.110	sil	0	2.44	1.88	1.990
test01	test01	6	1	2.020	0.025	sil	0	2.44	2.02	2.045
test01	test01	6	1	2.180	0.015	sil	0	2.44	2.18	2.195
test01	test01	6	1	2.210	0.115	sil	0	2.44	2.21	2.325
test01	test01	6	1	2.330	0.105	sil	0	2.44	2.33	2.435
test01	test01	18	1	0.340	0.020	b_S	0	2.44	0.34	0.360
test01	test01	18	1	1.040	0.005	b_S	0	2.44	1.04	1.045
test01	test01	18	1	2.125	0.005	b_S	0	2.44	2.125	2.130
test01	test01	22	1	1.035	0.005	bcl_S	0	2.44	1.035	1.040
test01	test01	34	1	2.120	0.005	dcl_S	0	2.44	2.12	2.125
test01	test01	54	1	1.875	0.005	k_S	0	2.44	1.875	1.880
test01	test01	58	1	1.685	0.080	kcl_S	0	2.44	1.685	1.765
test01	test01	62	1	1.355	0.005	l_S	0	2.44	1.355	1.360
test01	test01	62	1	1.570	0.025	l_S	0	2.44	1.57	1.595
test01	test01	62	1	2.130	0.035	l_S	0	2.44	2.13	2.165
test01	test01	66	1	0.295	0.040	m_S	0	2.44	0.295	0.335
test01	test01	74	1	1.540	0.005	ng_S	0	2.44	1.54	1.545
test01	test01	74	1	2.325	0.005	ng_S	0	2.44	2.325	2.330
test01	test01	82	1	1.250	0.065	p_S	0	2.44	1.25	1.315
test01	test01	86	1	0.335	0.005	pcl_S	0	2.44	0.335	0.340
test01	test01	86	1	1.220	0.015	pcl_S	0	2.44	1.22	1.235
test01	test01	98	1	0.545	0.005	tcl_S	0	2.44	0.545	0.550
test01	test01	102	1	1.090	0.105	aa_S	0	2.44	1.09	1.195
test01	test01	106	1	0.160	0.070	ae_S	0	2.44	0.16	0.230
test01	test01	118	1	2.045	0.075	ax_S	0	2.44	2.045	2.120
test01	test01	122	1	0.685	0.015	axr_S	0	2.44	0.685	0.700
test01	test01	158	1	1.635	0.050	ix_S	0	2.44	1.635	1.685
test01	test01	158	1	2.195	0.015	ix_S	0	2.44	2.195	2.210
test01	test01	162	1	0.790	0.135	iy_S	0	2.44	0.79	0.925
test01	test01	170	1	0.550	0.045	s_S	0	2.44	0.55	0.595
test01	test01	186	1	2.165	0.015	uw_S	0	2.44	2.165	2.180
test01	test01	198	1	0.670	0.015	w_S	0	2.44	0.67	0.685
test01	test01	198	1	1.990	0.030	w_S	0	2.44	1.99	2.020
test01	test01	206	1	0.925	0.055	z_S	0	2.44	0.925	0.980
test01	test01	218	1	0.405	0.090	ay_S	0	2.44	0.405	0.495
test01	test01	218	1	1.435	0.055	ay_S	0	2.44	1.435	1.490
